代码   ,名称,采集时间1,五日前涨跌1,四日前涨跌1,三日前涨跌1,二日前涨跌1,一日前涨跌1,当日涨跌1,当日KP1,二日KP1,利润二卖,利润三卖,利润四卖,利润五卖,前五日换手率1,前四日换手率1,前三日换手率1,前二日换手率1,前一日换手率1,当日换手率1,前五日振幅1,前四日振幅1,前三日振幅1,前二日振幅1,前一日振幅1,当日振幅1,前五五日BIAS1,前四五日BIAS1,前三五日BIAS1,前二五日BIAS1,前一五日BIAS1,当日五日BIAS1,当日十日BIAS1,M当十日BIAS1,前五日L_VR1,前四日L_VR1,前三日L_VR1,前二日L_VR1,前一日L_VR1,当日L_VR1,前五日五净买1,前四日五净买1,前三日五净买1,前二日五净买1,前一日五净买1,当日五净买1,前五日获利盘1,前四日获利盘1,前三日获利盘1,前二日获利盘1,前一日获利盘1,当日获利盘1,前五日主力筹码1,前四日主力筹码1,前三日主力筹码1,前二日主力筹码1,前一日主力筹码1,当日主力筹码1,前五日BR1,前四日BR1,前三日BR1,前二日BR1,前一日BR1,当日BR1,前五日AR1,前四日AR1,前三日AR1,前二日AR1,前一日AR1,当日AR1,前五日CR_1,前四日CR_1,前三日CR_1,前二日CR_1,前一日CR_1,当日CR_1
600989,宝丰能源,1210104,0.56,2.7,-2.9,0.28,1.12,3.13,-0.46,-0.09,5.89,11.96,14.38,13.93,1.61,3.24,1.96,1.56,1.63,1.72,5.07,4.08,4.68,3.56,2.63,4.81,0.66,2.83,-0.63,-0.37,0.41,2.68,3.81,1.38,143.37,142.34,110.29,93.49,88.22,110.59,-0.02,0.03,0.02,0.01,0.02,0.03,0.62,0.98,0.3,0.31,0.69,0.99,7.21,11.4,6.14,6.52,7.9,14.67,108.19,105.37,89.37,88.37,87.81,98.43,91.82,86.76,74.72,72.68,82.11,99.52,85.37,88.66,73.88,73.19,65.91,82.17
600973,宝胜股份,1210104,0.71,-2.12,3.13,-0.7,1.18,2.56,0.23,0,3.4,3.17,3.63,3.17,0.66,1.26,1.82,1.05,0.9,1.95,3.33,2.85,5.28,2.35,1.65,3.94,-0.28,-1.57,1.13,0.57,1.32,3.09,3.4,1.59,70.23,70.66,90.69,89.75,110.74,135.06,0,-0.01,0.01,0,0.01,0.02,0.34,0.05,0.86,0.65,0.97,0.94,1.13,0.79,1.29,1.15,1.51,3.79,77.62,75,88.19,84.56,90.84,106.62,77.62,78.62,89.51,87.07,94.96,111.28,71.2,70.59,79.69,78.83,81.96,94.17
600963,岳阳林纸,1210104,7.52,-4.15,3.78,-0.26,1.04,1.29,0.26,-1.02,0.51,2.81,1.53,-3.06,2.63,2.79,2.63,1.61,2.06,1.99,7.8,5.41,4.24,2.62,2.58,1.8,3.93,0.11,2.95,1.75,1.31,2.3,3.9,2.96,59.99,57.22,57.14,47.38,58.19,68.59,0.03,0,0.03,0.03,0.04,0,1,0.42,0.91,0.84,0.91,0.95,12.58,10.2,12.03,11.77,12,12.82,103.73,100,106.59,101.76,108.64,110.63,96.91,90.23,91.91,90.75,91.18,91.12,70.28,80.21,75.77,73.4,82.02,91.09
600367,红星发展,1210104,3.56,-2.75,-3.54,2.64,0.71,2.98,0.14,0.14,2.07,0.83,1.79,-3.58,3.51,2.41,1.99,2.06,1.73,3.68,6.09,3.57,3.82,5.4,2.13,5.1,3.03,0.2,-2.99,-0.51,0.11,3.13,3.01,1.15,117.36,114.36,95.1,95.72,110.03,130.61,0.07,0.02,0,0.02,0.02,0.02,1,0.48,0,0.32,0.56,0.93,0.29,0.02,0,0.01,0.02,0.23,101.51,96.52,83.33,91.74,98.25,108.08,103.66,95.1,83.56,90.93,95.68,104.72,87.24,94.65,77.57,77.4,81.56,96.56
600366,宁波韵升,1210104,2.71,-2.47,-0.84,2.04,1.5,3.62,0.33,-1.59,-0.79,-4.13,-6.67,-8.73,2.83,2.81,2.44,2.5,2.81,4.11,4.25,3.64,3.38,3.93,2.84,4.1,1.61,-0.54,-1.41,0.64,1.57,4.44,4.95,2.41,144.14,122.55,101.48,91.07,78.29,99.46,0.02,-0.02,0,0,0.03,0.06,1,0.3,0.05,0.73,0.98,1,0.43,0.13,0.08,0.23,0.42,1.79,108.96,95.24,92.54,90.94,89,93.66,103.85,93.92,90.6,89.04,87.07,94.35,83.43,80.24,68.59,62.47,61.5,74.33
600356,恒丰纸业,1210104,0.51,-0.26,1.92,0.25,0.38,1.37,0,-0.37,-1.23,7.03,3.33,0.74,0.45,0.41,0.83,0.74,0.72,1.08,1.54,1.02,3.57,1.13,1.37,2.25,-0.18,-0.1,1.4,1.35,1.16,1.81,2.66,1.82,68.4,72.43,69.51,78.75,91.55,108.68,0,-0.01,0.01,0.01,0.01,0.02,0.33,0.22,0.86,0.86,0.93,1,21.76,21.3,23.86,23.97,24.43,25.43,95.5,95.45,102.13,103.58,105.2,112.8,84.51,81.88,86.49,89,86.06,91.79,64.41,67.32,68.79,71.77,72.12,84.6
600177,雅戈尔,1210104,1.83,0.54,0.18,-0.18,1.97,-0.18,-0.35,-0.53,1.41,1.41,0.18,2.46,0.46,0.49,0.4,0.51,0.72,0.65,2.58,2.52,1.25,1.42,2.33,1.59,0.22,1.01,1.08,0.54,1.64,1,1.77,1.26,76.51,84.78,78.67,71.48,84.13,96.57,-0.01,0,0,0,0.01,0,0.56,0.84,0.98,0.86,1,0.92,30.29,30.79,31.1,30.65,34.74,34.2,80.79,83.12,80,75.32,78.48,82.47,94.12,92.25,84.93,78.67,84.46,88.28,77.4,84.11,83.96,79.88,87.62,100.34
600020,中原高速,1210104,2.27,-0.32,2.87,-1.55,1.89,3.7,0,-1.49,-3.57,-5.06,-5.95,-6.25,0.83,0.74,1.66,0.97,1.55,3.13,4.22,2.55,5.75,1.88,2.84,5.25,0.25,0.51,2.67,0.76,1.63,4.02,5.46,2.6,51.62,46.35,52.64,50.77,64.89,91.89,-0.01,-0.01,0.01,0,0.01,0.02,0.54,0.55,0.9,0.57,0.93,1,0,0,0,0,0,0,72.62,69.77,86.05,82.02,90.8,103.41,79.75,81.01,98.73,101.27,120.27,134.67,55.05,57.65,67,65.69,69.61,88.27
300441,鲍斯股份,1210104,1.64,-1.15,0.47,-0.81,1.87,2.52,0,0.11,3.24,2.46,0.89,2.91,1.87,1.75,1.59,1.56,1.77,3.74,2.23,2.41,1.86,1.85,2.32,5.16,0.6,-0.21,0.33,-0.51,0.95,2.9,3.2,1.09,68.04,78.73,80.98,73.01,66.07,83.28,0,-0.01,0,0,0.02,0.04,0.78,0.37,0.69,0.35,0.97,0.87,0.08,0.07,0.08,0.07,0.09,0.15,82.97,85.2,91.79,87.41,78.14,93.38,69.46,70.43,71.91,68.06,55.8,69.13,80.48,88.64,85.74,82.2,73.34,95.6
002546,新联电子,1210104,1.62,-1.33,1.08,1.87,-0.26,1.84,-0.52,-0.52,1.03,-1.29,-4.12,-4.12,1.09,1.11,0.93,1.71,1.44,1.73,2.71,2.13,2.14,2.94,1.84,2.64,0.05,-0.59,0.32,1.92,1.06,2.27,2.75,1.71,87.65,66.39,58.66,56.32,70.58,86.59,-0.01,-0.01,0,0,0.01,0.01,0.51,0.05,0.62,0.99,0.8,1,0.1,0.07,0.09,0.14,0.12,0.44,85,78.51,91.07,92.04,95.41,100.93,99.1,93.69,99.07,103.77,114.14,125,67.88,65.31,62.64,62.45,69.73,77.69
